student_name,student_contact,student_email,roll_no,semester,department,department_id,grade,father_name
Aahana Lala,9510549526,aahana.lala@gmail.com,AI24267,2,AI,3,A,Pratyush Lala
Inaya Handa,9775332320,inaya.handa@gmail.com,CE24268,7,CE,5,B,Robert Handa
Omisha Mane,9851259420,omisha.mane@gmail.com,ME24269,5,ME,4,B+,Hitesh Mane
Mahika Rajan,7986616044,mahika.rajan@gmail.com,CSE24270,7,CSE,1,A,Falan Rajan
Aradhana Magar,7086610325,aradhana.magar@gmail.com,ME24271,1,ME,4,B,Bachittar Magar
Umang Khatri,8868912573,umang.khatri@gmail.com,AI24272,5,AI,3,B+,Advay Khatri
Manya Mallick,7082040456,manya.mallick@gmail.com,ME24273,4,ME,4,A,Chandresh Mallick
Victor Reddy,7615758076,victor.reddy@gmail.com,AI24274,6,AI,3,C,Arjun Reddy
Chatura Sharaf,9146545324,chatura.sharaf@gmail.com,AI24275,6,AI,3,C,Maanav Sharaf
Kamala Agate,7181630116,kamala.agate@gmail.com,AI24276,2,AI,3,B+,Abeer Agate
Nihal Atwal,9512671322,nihal.atwal@gmail.com,ME24277,8,ME,4,B+,Falan Atwal
Pavani Ben,8183926530,pavani.ben@gmail.com,ME24278,6,ME,4,A,Manthan Ben
Varsha Kadakia,7670402813,varsha.kadakia@gmail.com,CSE24279,6,CSE,1,A+,Gopal Kadakia
Harinakshi Deep,8055045096,harinakshi.deep@gmail.com,AI24280,3,AI,3,C,Max Deep
Kavya Ramachandran,9686737534,kavya.ramachandran@gmail.com,IT24281,6,IT,2,A+,Oliver Ramachandran
Wakeeta Ratta,7124218598,wakeeta.ratta@gmail.com,IT24282,6,IT,2,A,Samesh Ratta
Nidhi Master,9067268800,nidhi.master@gmail.com,CSE24283,2,CSE,1,B+,Krish Master
Ekiya Shukla,8130070148,ekiya.shukla@gmail.com,IT24284,1,IT,2,A,Victor Shukla
Anvi Chokshi,8532211046,anvi.chokshi@gmail.com,CE24285,4,CE,5,A+,David Chokshi
Udyati Khosla,9653683044,udyati.khosla@gmail.com,AI24286,3,AI,3,C,Faris Khosla
Urvashi Sanghvi,7660343974,urvashi.sanghvi@gmail.com,CSE24287,5,CSE,1,B,Jonathan Sanghvi
Sachi Kibe,8811474723,sachi.kibe@gmail.com,AI24288,8,AI,3,B,Lakshit Kibe
Charvi Kota,7483817269,charvi.kota@gmail.com,CSE24289,5,CSE,1,C,Jagat Kota
Alka Sodhi,9732957927,alka.sodhi@gmail.com,CSE24290,4,CSE,1,A+,Matthew Sodhi
Liam Mukhopadhyay,7238132107,liam.mukhopadhyay@gmail.com,CE24291,4,CE,5,C,Kevin Mukhopadhyay
Akshay Narayan,8993228541,akshay.narayan@gmail.com,CE24292,3,CE,5,A,Christopher Narayan
Atharv Kala,8235718686,atharv.kala@gmail.com,CSE24293,7,CSE,1,A,Jagat Kala
Bhanumati Bhatia,7406835981,bhanumati.bhatia@gmail.com,AI24294,8,AI,3,B+,Elijah Bhatia
Kiaan Bala,7495667851,kiaan.bala@gmail.com,ME24295,7,ME,4,B+,Ekavir Bala
Alka Seth,9862032250,alka.seth@gmail.com,IT24296,1,IT,2,A,Kevin Seth
Amol Sidhu,9634218009,amol.sidhu@gmail.com,AI24297,2,AI,3,A+,Tanish Sidhu
Chanakya Chandran,7636926812,chanakya.chandran@gmail.com,CE24298,6,CE,5,C,Warinder Chandran
Faraj Khosla,9296950253,faraj.khosla@gmail.com,ME24299,4,ME,4,A+,Hemang Khosla
Darpan Wable,7405444142,darpan.wable@gmail.com,CE24300,8,CE,5,A,Pranit Wable
Champak Arya,8400357859,champak.arya@gmail.com,IT24301,8,IT,2,B+,Samuel Arya
Yashica Sura,7417829425,yashica.sura@gmail.com,ME24302,1,ME,4,C,Ansh Sura
Tristan Ganesh,8505748223,tristan.ganesh@gmail.com,ME24303,7,ME,4,B,Logan Ganesh
Yasti Bhavsar,8468860303,yasti.bhavsar@gmail.com,CE24304,4,CE,5,B,Teerth Bhavsar
Yuvraj Kanda,8767550411,yuvraj.kanda@gmail.com,IT24305,7,IT,2,B+,Sarthak Kanda
Urmi Nair,7916313618,urmi.nair@gmail.com,IT24306,2,IT,2,C,Mason Nair
Omaja Sood,9843080390,omaja.sood@gmail.com,ME24307,1,ME,4,B,Zaid Sood
Kritika Chakraborty,8903045917,kritika.chakraborty@gmail.com,CE24308,3,CE,5,B,Faris Chakraborty
Falak Deol,8936819014,falak.deol@gmail.com,IT24309,2,IT,2,B,Maanav Deol
Nandini Sengupta,8238833627,nandini.sengupta@gmail.com,CE24310,1,CE,5,C,Abeer Sengupta
Karan Sarna,7229456421,karan.sarna@gmail.com,IT24311,8,IT,2,C,Mohammed Sarna
Alexander Deep,9359172661,alexander.deep@gmail.com,AI24312,8,AI,3,C,Balveer Deep
Fitan Dhawan,7485133994,fitan.dhawan@gmail.com,CSE24313,6,CSE,1,B+,Ethan Dhawan
Ishwar Srinivas,7270668288,ishwar.srinivas@gmail.com,ME24314,7,ME,4,A,Darsh Srinivas
Pooja Tailor,8956039106,pooja.tailor@gmail.com,CSE24315,2,CSE,1,C,Tristan Tailor
Pallavi Aurora,8181160089,pallavi.aurora@gmail.com,CE24316,5,CE,5,B+,Baljiwan Aurora
Yashodhara Sarna,8466551294,yashodhara.sarna@gmail.com,AI24317,6,AI,3,A+,Madhav Sarna
Aarna Gala,7625345579,aarna.gala@gmail.com,CSE24318,3,CSE,1,A,Jatin Gala
Amrita Andra,7003838342,amrita.andra@gmail.com,ME24319,5,ME,4,C,Ishaan Andra
Chavvi Agrawal,9961839948,chavvi.agrawal@gmail.com,IT24320,4,IT,2,B,Baljiwan Agrawal
Adya Khare,7161219428,adya.khare@gmail.com,IT24321,2,IT,2,B+,Jairaj Khare
Anvi Luthra,9201173807,anvi.luthra@gmail.com,ME24322,1,ME,4,B,Lakshit Luthra
Aryan Chahal,7720731885,aryan.chahal@gmail.com,CSE24323,1,CSE,1,B,Jonathan Chahal
Turvi Buch,7166601802,turvi.buch@gmail.com,IT24324,3,IT,2,A+,Upkaar Buch
Oni Chowdhury,8585034902,oni.chowdhury@gmail.com,CSE24325,8,CSE,1,B,Vedant Chowdhury
Hredhaan Sachar,8584572052,hredhaan.sachar@gmail.com,IT24326,7,IT,2,B,Atharv Sachar
Ria Murty,7502183159,ria.murty@gmail.com,IT24327,2,IT,2,B,Fariq Murty
Sara Babu,9018973196,sara.babu@gmail.com,IT24328,1,IT,2,C,Aryan Babu
Ishanvi Kalla,8871104956,ishanvi.kalla@gmail.com,CSE24329,7,CSE,1,B+,Reyansh Kalla
Tanish Tripathi,9663777447,tanish.tripathi@gmail.com,ME24330,5,ME,4,B+,Nathaniel Tripathi
Charan Prashad,8198590220,charan.prashad@gmail.com,CSE24331,3,CSE,1,C,Warjas Prashad
Ethan Virk,7502058028,ethan.virk@gmail.com,IT24332,1,IT,2,A,Tanay Virk
Advik Parikh,8177850588,advik.parikh@gmail.com,IT24333,8,IT,2,B+,Tristan Parikh
Meghana Balasubramanian,7919227756,meghana.balasubramanian@gmail.com,CE24334,4,CE,5,A+,Wyatt Balasubramanian
Ojas Wagle,8909084441,ojas.wagle@gmail.com,IT24335,4,IT,2,A,Faqid Wagle
Rajeshri Chakraborty,8613927808,rajeshri.chakraborty@gmail.com,ME24336,4,ME,4,A,Lakshit Chakraborty
Bimala Bora,7368693112,bimala.bora@gmail.com,CE24337,7,CE,5,C,Rayaan Bora
Rudra Kala,7000533747,rudra.kala@gmail.com,IT24338,6,IT,2,A+,Thomas Kala
Unni Palla,8910991830,unni.palla@gmail.com,ME24339,8,ME,4,C,Praneel Palla
Vanya Savant,8359006433,vanya.savant@gmail.com,AI24340,5,AI,3,B,Ishwar Savant
Samaksh Prasad,8003531278,samaksh.prasad@gmail.com,ME24341,4,ME,4,A+,Noah Prasad
Charvi Venkatesh,9839143328,charvi.venkatesh@gmail.com,CSE24342,6,CSE,1,A+,Fariq Venkatesh
Pratyush Narang,8628906197,pratyush.narang@gmail.com,ME24343,1,ME,4,B,Praneel Narang
Tamanna Sachdev,9449184742,tamanna.sachdev@gmail.com,IT24344,7,IT,2,A,Patrick Sachdev
Lucky Khanna,7487264145,lucky.khanna@gmail.com,CSE24345,7,CSE,1,A+,Kalpit Khanna
Bhavna Sarna,9565967182,bhavna.sarna@gmail.com,ME24346,5,ME,4,A,Jackson Sarna
Champak Shukla,9226461759,champak.shukla@gmail.com,CE24347,1,CE,5,B,Tanish Shukla
Faqid Hari,8230129026,faqid.hari@gmail.com,CE24348,4,CE,5,A,Abeer Hari
Wridesh Bhattacharyya,7460593207,wridesh.bhattacharyya@gmail.com,AI24349,1,AI,3,C,Akshay Bhattacharyya
Ladli Madan,8114064038,ladli.madan@gmail.com,IT24350,4,IT,2,B+,Abdul Madan
Chameli Banik,8876862833,chameli.banik@gmail.com,CE24351,2,CE,5,A,Teerth Banik
Finn Sha,9494388787,finn.sha@gmail.com,AI24352,6,AI,3,C,Dominic Sha
Thomas Biswas,7259144907,thomas.biswas@gmail.com,CE24353,8,CE,5,A,Daniel Biswas
Tripti Prabhu,9343626648,tripti.prabhu@gmail.com,CE24354,7,CE,5,C,Utkarsh Prabhu
Madhav Hari,9984737002,madhav.hari@gmail.com,AI24355,1,AI,3,A,Fariq Hari
Upkaar Sangha,9700918236,upkaar.sangha@gmail.com,ME24356,8,ME,4,A,Wriddhish Sangha
Tarak Konda,8597249061,tarak.konda@gmail.com,CE24357,2,CE,5,B,Warinder Konda
Hemal Kant,9154517429,hemal.kant@gmail.com,IT24358,1,IT,2,C,Manthan Kant
Finn Palan,9735155258,finn.palan@gmail.com,AI24359,1,AI,3,A+,Sathvik Palan
Yashoda Seth,9360846259,yashoda.seth@gmail.com,ME24360,6,ME,4,A+,Bachittar Seth
Vasudha Ahuja,9257094786,vasudha.ahuja@gmail.com,IT24361,4,IT,2,A+,Teerth Ahuja
David Tandon,9756010971,david.tandon@gmail.com,IT24362,3,IT,2,C,Akshay Tandon
Siya Narasimhan,9226883931,siya.narasimhan@gmail.com,AI24363,8,AI,3,A,Kabir Narasimhan
Gavin Lad,9045560358,gavin.lad@gmail.com,ME24364,2,ME,4,B,Maanas Lad
Tripti Konda,8581062218,tripti.konda@gmail.com,IT24365,6,IT,2,B+,Harrison Konda
Benjamin Ramanathan,7663299252,benjamin.ramanathan@gmail.com,ME24366,4,ME,4,C,Sai Ramanathan
Radha Oza,9538774483,radha.oza@gmail.com,ME24367,1,ME,4,A+,Fitan Oza
Wriddhish Mutti,7276188637,wriddhish.mutti@gmail.com,AI24368,8,AI,3,A+,Ansh Mutti
Chaman Murty,8270565869,chaman.murty@gmail.com,IT24369,8,IT,2,A,Devansh Murty
Keya Arora,9993257667,keya.arora@gmail.com,AI24370,1,AI,3,B,Wazir Arora
Anika Desai,7168888749,anika.desai@gmail.com,AI24371,2,AI,3,C,Udarsh Desai
Chandran Sampath,7928898128,chandran.sampath@gmail.com,CSE24372,6,CSE,1,A,Dakshesh Sampath
Aachal Ramesh,9858961069,aachal.ramesh@gmail.com,ME24373,7,ME,4,B+,Gabriel Ramesh
Yuvraj Prashad,9099082177,yuvraj.prashad@gmail.com,ME24374,3,ME,4,A,Michael Prashad
Jonathan Kunda,9034631716,jonathan.kunda@gmail.com,AI24375,7,AI,3,B+,Tanish Kunda
Simon Madan,7394397625,simon.madan@gmail.com,IT24376,4,IT,2,C,Faqid Madan
Suhani Chhabra,7039886371,suhani.chhabra@gmail.com,CE24377,6,CE,5,B,Chandresh Chhabra
Chanchal Shenoy,9208121832,chanchal.shenoy@gmail.com,CSE24378,4,CSE,1,A,Anay Shenoy
Rushil Bahri,7898238350,rushil.bahri@gmail.com,CE24379,4,CE,5,A+,Saksham Bahri
Gautam Tank,9404951515,gautam.tank@gmail.com,ME24380,4,ME,4,B+,Ojas Tank
Ekta Badami,9544488270,ekta.badami@gmail.com,ME24381,5,ME,4,B+,Aadi Badami
Umang Sampath,8468312061,umang.sampath@gmail.com,IT24382,1,IT,2,A,Benjamin Sampath
Elijah Talwar,9247247890,elijah.talwar@gmail.com,IT24383,6,IT,2,B,Qarin Talwar
Mohini Panchal,7500004003,mohini.panchal@gmail.com,CE24384,6,CE,5,B,Samar Panchal
Advik Mohanty,7170326953,advik.mohanty@gmail.com,IT24385,2,IT,2,B,Vincent Mohanty
Tristan Guha,9526467853,tristan.guha@gmail.com,AI24386,2,AI,3,B,Kevin Guha
Raksha Ramakrishnan,8293303170,raksha.ramakrishnan@gmail.com,ME24387,3,ME,4,A,Wridesh Ramakrishnan
Mugdha Bhargava,7152636103,mugdha.bhargava@gmail.com,CE24388,8,CE,5,A+,Guneet Bhargava
Anirudh Patil,9666168008,anirudh.patil@gmail.com,CE24389,6,CE,5,A+,Yatan Patil
Warda Raju,8475126076,warda.raju@gmail.com,AI24390,4,AI,3,B,Anirudh Raju
Harrison Lata,7744175531,harrison.lata@gmail.com,ME24391,3,ME,4,B,Kiaan Lata
Ekapad Hans,8512482559,ekapad.hans@gmail.com,ME24392,3,ME,4,C,Nathan Hans
Rachit Kumer,8533262766,rachit.kumer@gmail.com,IT24393,7,IT,2,C,Anirudh Kumer
Ekavir Tailor,8169771872,ekavir.tailor@gmail.com,IT24394,8,IT,2,C,Ayaan Tailor
Adweta Murty,7619578970,adweta.murty@gmail.com,AI24395,8,AI,3,C,Lucky Murty
Imaran Kumer,8256834680,imaran.kumer@gmail.com,AI24396,7,AI,3,A+,Onveer Kumer
Charles Babu,8134473220,charles.babu@gmail.com,AI24397,1,AI,3,C,Banjeet Babu
Yochana Jaggi,9059181295,yochana.jaggi@gmail.com,CSE24398,3,CSE,1,B+,Theodore Jaggi
Lekha Kala,8214142136,lekha.kala@gmail.com,AI24399,7,AI,3,B+,Daniel Kala
Avni Rout,9629015484,avni.rout@gmail.com,CE24400,8,CE,5,A,Finn Rout
Mitali Sibal,8624087455,mitali.sibal@gmail.com,IT24401,1,IT,2,B+,Shaurya Sibal
Yashawini Dara,8646081961,yashawini.dara@gmail.com,CE24402,3,CE,5,B+,Rachit Dara
Vasana Minhas,7017986634,vasana.minhas@gmail.com,CSE24403,6,CSE,1,B+,Anay Minhas
Advik Oak,8531855447,advik.oak@gmail.com,IT24404,2,IT,2,B,Rudra Oak
Farhan Lal,8394751238,farhan.lal@gmail.com,ME24405,5,ME,4,A+,Pranit Lal
Banjeet Dar,7871511528,banjeet.dar@gmail.com,ME24406,1,ME,4,B+,Brijesh Dar
Falak Varughese,7388688709,falak.varughese@gmail.com,AI24407,3,AI,3,B+,Tarak Varughese
Ira Halder,9329062105,ira.halder@gmail.com,CE24408,1,CE,5,B,Balhaar Halder
Ishanvi Mani,8582962334,ishanvi.mani@gmail.com,ME24409,6,ME,4,B,Girindra Mani
Kashvi Kaul,7394615036,kashvi.kaul@gmail.com,CSE24410,6,CSE,1,B,Liam Kaul
Anita Dayal,9376730116,anita.dayal@gmail.com,IT24411,8,IT,2,C,Yatin Dayal
Radha Ganesh,7873043150,radha.ganesh@gmail.com,IT24412,7,IT,2,A+,Reyansh Ganesh
Sudiksha Kunda,9787291508,sudiksha.kunda@gmail.com,ME24413,1,ME,4,B+,Siddharth Kunda
Shravya Comar,7957444055,shravya.comar@gmail.com,CE24414,4,CE,5,B+,Bakhshi Comar
Raksha Varty,9803242242,raksha.varty@gmail.com,CSE24415,8,CSE,1,A+,Shivansh Varty
Kala Deshpande,9814283525,kala.deshpande@gmail.com,ME24416,8,ME,4,A,Naksh Deshpande
Adya Salvi,9997486596,adya.salvi@gmail.com,CSE24417,5,CSE,1,A,Anay Salvi
Neelima Sethi,9727495846,neelima.sethi@gmail.com,AI24418,3,AI,3,C,Chandresh Sethi
Devansh Gopal,7196600304,devansh.gopal@gmail.com,AI24419,8,AI,3,C,Gaurav Gopal
Dalaja Konda,7728022149,dalaja.konda@gmail.com,CSE24420,1,CSE,1,C,Isaiah Konda
Harita Bassi,7557431822,harita.bassi@gmail.com,ME24421,2,ME,4,C,Jatin Bassi
Anusha Radhakrishnan,8625692257,anusha.radhakrishnan@gmail.com,IT24422,1,IT,2,C,Yatin Radhakrishnan
Tejas Toor,8667140438,tejas.toor@gmail.com,IT24423,6,IT,2,A,Anay Toor
Advika Hayre,8447100806,advika.hayre@gmail.com,AI24424,1,AI,3,B,Ansh Hayre
Mahika Korpal,7893388509,mahika.korpal@gmail.com,AI24425,8,AI,3,A+,Zaid Korpal
Saksham Sarkar,8950561003,saksham.sarkar@gmail.com,IT24426,6,IT,2,C,Jack Sarkar
Amrita Bhatia,8093949433,amrita.bhatia@gmail.com,IT24427,3,IT,2,A+,Qabil Bhatia
Siya Nagi,7482977582,siya.nagi@gmail.com,AI24428,6,AI,3,B,Aryan Nagi
Ethan Ratta,8761613752,ethan.ratta@gmail.com,CSE24429,7,CSE,1,A+,Champak Ratta
Leena Walia,8012843592,leena.walia@gmail.com,IT24430,3,IT,2,B+,Umang Walia
Jai Sahni,8736592774,jai.sahni@gmail.com,CSE24431,4,CSE,1,C,Elijah Sahni
Amrita Parikh,7327772555,amrita.parikh@gmail.com,ME24432,8,ME,4,B,Om Parikh
Hritik Vig,7342752692,hritik.vig@gmail.com,CSE24433,2,CSE,1,B+,Yatin Vig
Faqid Kurian,7406727932,faqid.kurian@gmail.com,CE24434,8,CE,5,A,Nitesh Kurian
Andrew Atwal,8812770023,andrew.atwal@gmail.com,CSE24435,2,CSE,1,B+,Manan Atwal
Logan Kalita,8076579539,logan.kalita@gmail.com,ME24436,3,ME,4,B,Finn Kalita
Rachita Kapoor,8302643949,rachita.kapoor@gmail.com,ME24437,4,ME,4,A,Michael Kapoor
Kashvi Nair,7089330515,kashvi.nair@gmail.com,CE24438,5,CE,5,A+,Mohammed Nair
Guneet Chandran,8462737247,guneet.chandran@gmail.com,AI24439,3,AI,3,A+,Charan Chandran
Harrison Sabharwal,7225584797,harrison.sabharwal@gmail.com,ME24440,4,ME,4,B,Wazir Sabharwal
Manan Pandit,8047976332,manan.pandit@gmail.com,CSE24441,5,CSE,1,A,Anay Pandit
Divya Mitra,8162566349,divya.mitra@gmail.com,IT24442,4,IT,2,A,Udant Mitra
Samar Mannan,7399994759,samar.mannan@gmail.com,ME24443,2,ME,4,A+,Gautam Mannan
Ishanvi Date,8807857521,ishanvi.date@gmail.com,CE24444,6,CE,5,B+,Darsh Date
Balveer Char,9644578552,balveer.char@gmail.com,ME24445,8,ME,4,C,Thomas Char
Advika Khatri,7247774942,advika.khatri@gmail.com,ME24446,1,ME,4,A+,Veer Khatri
Ikbal Deo,7264428835,ikbal.deo@gmail.com,AI24447,8,AI,3,B+,Shivansh Deo
Yadavi Gulati,9690814271,yadavi.gulati@gmail.com,AI24448,2,AI,3,A+,Wridesh Gulati
Jeet Buch,7078726506,jeet.buch@gmail.com,IT24449,7,IT,2,A+,Ojas Buch
Rachana Deep,8926922622,rachana.deep@gmail.com,CE24450,3,CE,5,A+,Rehaan Deep
Yadavi Venkatesh,9434623451,yadavi.venkatesh@gmail.com,CSE24451,5,CSE,1,A+,Jai Venkatesh
Darika Acharya,7328489093,darika.acharya@gmail.com,CSE24452,3,CSE,1,A+,Gunbir Acharya
Gaurangi Natt,7660769333,gaurangi.natt@gmail.com,CE24453,4,CE,5,C,Gunbir Natt
Krishna Om,8770096655,krishna.om@gmail.com,IT24454,4,IT,2,A+,Samarth Om
Zinal Keer,7975792066,zinal.keer@gmail.com,CSE24455,6,CSE,1,C,Harish Keer
Jagdish Sha,8255949962,jagdish.sha@gmail.com,ME24456,6,ME,4,A,Tristan Sha
Noah Sunder,7529115458,noah.sunder@gmail.com,CE24457,4,CE,5,B,William Sunder
Azad Jayaraman,8431820845,azad.jayaraman@gmail.com,IT24458,8,IT,2,A+,Harshil Jayaraman
Jai Kara,7423122216,jai.kara@gmail.com,IT24459,5,IT,2,B,Chandran Kara
Avi Kashyap,8854129741,avi.kashyap@gmail.com,AI24460,1,AI,3,C,Laksh Kashyap
Yahvi Johal,8354310943,yahvi.johal@gmail.com,AI24461,4,AI,3,B,Ayaan Johal
Chasmum Ramanathan,7608144523,chasmum.ramanathan@gmail.com,CSE24462,6,CSE,1,A,Jason Ramanathan
Vedhika Jayaraman,9618938797,vedhika.jayaraman@gmail.com,AI24463,5,AI,3,C,Joshua Jayaraman
Kevin Naidu,7448674880,kevin.naidu@gmail.com,ME24464,2,ME,4,A+,Hredhaan Naidu
Max Shere,9459335338,max.shere@gmail.com,AI24465,1,AI,3,B+,Aarav Shere
Leela Bhatia,7642216979,leela.bhatia@gmail.com,CSE24466,3,CSE,1,B+,Darsh Bhatia
Teerth Char,7492557796,teerth.char@gmail.com,CSE24467,2,CSE,1,A,Advay Char
Naksh Pall,7672578533,naksh.pall@gmail.com,ME24468,2,ME,4,A,Samaksh Pall
Gagan Ram,7457198339,gagan.ram@gmail.com,IT24469,3,IT,2,A+,Jacob Ram
Girik Palla,9782958185,girik.palla@gmail.com,IT24470,7,IT,2,A,Agastya Palla
Yatan Borah,7536648770,yatan.borah@gmail.com,ME24471,8,ME,4,A,Banjeet Borah
Arin Suri,9553095213,arin.suri@gmail.com,AI24472,1,AI,3,A+,Daksh Suri
Harrison Palan,7480203255,harrison.palan@gmail.com,IT24473,1,IT,2,B,Balveer Palan
Kamya Patil,9268227944,kamya.patil@gmail.com,AI24474,2,AI,3,A+,Wridesh Patil
Gayathri Dhar,9362587019,gayathri.dhar@gmail.com,ME24475,3,ME,4,A+,Andrew Dhar
Anusha Iyer,9122298888,anusha.iyer@gmail.com,CE24476,4,CE,5,B,Reyansh Iyer
Lipika Seshadri,9058537445,lipika.seshadri@gmail.com,CSE24477,4,CSE,1,B,Girish Seshadri
Krishna Kapadia,8783134312,krishna.kapadia@gmail.com,ME24478,6,ME,4,B+,Orinder Kapadia
Umang Raghavan,7835754559,umang.raghavan@gmail.com,IT24479,8,IT,2,A,Dhruv Raghavan
Vyanjana Prashad,7824266732,vyanjana.prashad@gmail.com,CE24480,5,CE,5,A,Bakhshi Prashad
Daksha Munshi,8397799141,daksha.munshi@gmail.com,IT24481,4,IT,2,B+,Finn Munshi
Balhaar Buch,8142243844,balhaar.buch@gmail.com,IT24482,2,IT,2,C,Jack Buch
Shaurya Raval,9014924496,shaurya.raval@gmail.com,CE24483,7,CE,5,B+,Matthew Raval
Widisha Agrawal,8834898441,widisha.agrawal@gmail.com,CSE24484,7,CSE,1,C,Darsh Agrawal
Forum Butala,9441319584,forum.butala@gmail.com,AI24485,6,AI,3,A+,Lucky Butala
Zayyan Lalla,9043979871,zayyan.lalla@gmail.com,IT24486,2,IT,2,A+,Udarsh Lalla
Vritti Reddy,8582909193,vritti.reddy@gmail.com,IT24487,6,IT,2,C,Girindra Reddy
Baghyawati Raval,9709884403,baghyawati.raval@gmail.com,AI24488,7,AI,3,A,Yug Raval
Zarna Bal,8999869342,zarna.bal@gmail.com,CE24489,7,CE,5,C,Guneet Bal
Shivani Mander,9301528820,shivani.mander@gmail.com,AI24490,5,AI,3,A,Noah Mander
Girik Agrawal,9630196150,girik.agrawal@gmail.com,CE24491,6,CE,5,B,Omkaar Agrawal
Hiral Goda,8269732153,hiral.goda@gmail.com,CSE24492,8,CSE,1,A+,Fitan Goda
Damyanti Vig,9524560877,damyanti.vig@gmail.com,ME24493,8,ME,4,A,Wazir Vig
Darpan Bava,9864398965,darpan.bava@gmail.com,ME24494,2,ME,4,A,Robert Bava
Ayush Dua,7968483094,ayush.dua@gmail.com,CSE24495,4,CSE,1,B,Shaurya Dua
Samar Garg,8862939691,samar.garg@gmail.com,CSE24496,3,CSE,1,A,William Garg
Janaki Shetty,7537570709,janaki.shetty@gmail.com,AI24497,5,AI,3,A+,Darpan Shetty
Anay Iyer,7580069198,anay.iyer@gmail.com,CSE24498,5,CSE,1,B,Hritik Iyer
Amol Sarin,7009832901,amol.sarin@gmail.com,ME24499,7,ME,4,B,Oscar Sarin
Pavani Tandon,8652871345,pavani.tandon@gmail.com,CSE24500,3,CSE,1,A+,Manthan Tandon
