student_name,student_contact,student_email,roll_no,semester,department_id,grade,father_name
Zilmil Sridhar,8984772141,zilmil.sridhar@gmail.com,IT24285,1,2,A,Farhan Sridhar
Anusha Lad,9821327772,anusha.lad@gmail.com,ME24286,5,4,A+,Fariq Lad
Noah Wali,8472976974,noah.wali@gmail.com,CE24287,4,5,C,Jacob Wali
Sanaya Balay,8484399527,sanaya.balay@gmail.com,CSE24288,2,1,A,Balvan Balay
Adweta Kala,8557986863,adweta.kala@gmail.com,AI24289,5,3,B+,Avi Kala
Pavani Kunda,8668327988,pavani.kunda@gmail.com,IT24290,3,2,A,Chatura Kunda
Sneha Bajwa,8448476661,sneha.bajwa@gmail.com,AI24291,8,3,A,Veer Bajwa
Shaurya Ramesh,7008283468,shaurya.ramesh@gmail.com,AI24292,4,3,B+,Krish Ramesh
Dev Virk,9350866301,dev.virk@gmail.com,ME24293,6,4,C,Samuel Virk
Kashvi Thakkar,7274762014,kashvi.thakkar@gmail.com,AI24294,2,3,C,Saksham Thakkar
Baljiwan Narula,9944588767,baljiwan.narula@gmail.com,CE24295,8,5,B+,Chakradhar Narula
Aarnav Chhabra,8444349434,aarnav.chhabra@gmail.com,ME24296,5,4,A,Ryan Chhabra
Sudiksha Kant,7817920118,sudiksha.kant@gmail.com,AI24297,4,3,C,Om Kant
Ijaya Radhakrishnan,7206602779,ijaya.radhakrishnan@gmail.com,CSE24298,4,1,B,Sarthak Radhakrishnan
Tristan Arya,7193973474,tristan.arya@gmail.com,CSE24299,3,1,C,Gautam Arya
Ronith Batra,8767090927,ronith.batra@gmail.com,CE24300,6,5,A+,Chakradhar Batra
Megha Balay,7108612757,megha.balay@gmail.com,CSE24301,2,1,A,Victor Balay
Libni Varughese,8268516298,libni.varughese@gmail.com,CE24302,7,5,A+,Falan Varughese
Wriddhish Srinivasan,7231817709,wriddhish.srinivasan@gmail.com,AI24303,4,3,A,Finn Srinivasan
Jhalak Nori,8789513985,jhalak.nori@gmail.com,AI24304,5,3,A,Hemang Nori
Aarav Chaudhry,9934150278,aarav.chaudhry@gmail.com,AI24305,7,3,B+,Onveer Chaudhry
Barkha Sampath,9625796359,barkha.sampath@gmail.com,AI24306,4,3,B,Wridesh Sampath
Kavya Reddy,9401891939,kavya.reddy@gmail.com,IT24307,4,2,A+,Maanav Reddy
George Bhavsar,9214755324,george.bhavsar@gmail.com,IT24308,8,2,A,Robert Bhavsar
Meghana Sami,8359031346,meghana.sami@gmail.com,ME24309,8,4,B,Peter Sami
Aahana Kashyap,9489424905,aahana.kashyap@gmail.com,ME24310,5,4,A,Chakradhar Kashyap
Manya Pant,8093215825,manya.pant@gmail.com,CSE24311,6,1,B,Michael Pant
Lila Zachariah,9486019228,lila.zachariah@gmail.com,AI24312,2,3,B,Wridesh Zachariah
Vritti Kara,7446942846,vritti.kara@gmail.com,ME24313,4,4,B,Karan Kara
Hitesh Bhalla,9835119149,hitesh.bhalla@gmail.com,ME24314,1,4,C,Gavin Bhalla
Abdul Purohit,7743980303,abdul.purohit@gmail.com,IT24315,5,2,B,Harrison Purohit
Nachiket Keer,8023474729,nachiket.keer@gmail.com,CE24316,2,5,A,Jagat Keer
Udant Sankaran,7203271725,udant.sankaran@gmail.com,IT24317,4,2,A,Gopal Sankaran
Yug Borde,8013996168,yug.borde@gmail.com,IT24318,2,2,C,Naksh Borde
Gautam Sood,8077968200,gautam.sood@gmail.com,ME24319,4,4,A,Gunbir Sood
Rudra Mahal,9066711042,rudra.mahal@gmail.com,AI24320,7,3,B+,Jack Mahal
Garima Sunder,7967956468,garima.sunder@gmail.com,AI24321,7,3,B,Theodore Sunder
Dominic Joshi,8371606864,dominic.joshi@gmail.com,AI24322,7,3,C,Zehaan Joshi
Bishakha Merchant,9489895777,bishakha.merchant@gmail.com,AI24323,6,3,B,Saksham Merchant
Ekalinga Shanker,8215694362,ekalinga.shanker@gmail.com,CE24324,3,5,B,Shaurya Shanker
Jeevika Badal,7196673295,jeevika.badal@gmail.com,AI24325,7,3,B,Lohit Badal
Siddharth Karpe,7017159014,siddharth.karpe@gmail.com,IT24326,3,2,B,Laban Karpe
Pooja Kari,8851633816,pooja.kari@gmail.com,AI24327,6,3,A,Girindra Kari
Vrishti Balan,9886677042,vrishti.balan@gmail.com,IT24328,3,2,B+,Qasim Balan
Bina Kant,9584057853,bina.kant@gmail.com,CE24329,6,5,C,Balendra Kant
Ishani Natt,8505486244,ishani.natt@gmail.com,CE24330,5,5,C,Arjun Natt
Tarak Sathe,7875306219,tarak.sathe@gmail.com,CE24331,8,5,A+,Arin Sathe
Aadi Mody,7608027015,aadi.mody@gmail.com,ME24332,7,4,B,Vivaan Mody
Oeshi Korpal,8742437612,oeshi.korpal@gmail.com,ME24333,3,4,C,Laksh Korpal
Damyanti Mukherjee,8900887285,damyanti.mukherjee@gmail.com,CSE24334,4,1,B+,Avi Mukherjee
Turvi Rege,9320950696,turvi.rege@gmail.com,CSE24335,5,1,C,Jairaj Rege
Hardik Mani,8472248824,hardik.mani@gmail.com,IT24336,3,2,A,Hritik Mani
Finn Ramanathan,8372933940,finn.ramanathan@gmail.com,CSE24337,1,1,A,Saksham Ramanathan
Abhimanyu Mahal,8286455694,abhimanyu.mahal@gmail.com,ME24338,8,4,A+,Simon Mahal
Raghav Parmar,7832626788,raghav.parmar@gmail.com,CE24339,5,5,A,Max Parmar
Omaja Gour,7592491776,omaja.gour@gmail.com,CSE24340,3,1,A+,Dev Gour
Champak Sanghvi,8647380680,champak.sanghvi@gmail.com,ME24341,7,4,B+,Rishi Sanghvi
Vanya Bhatti,9891332219,vanya.bhatti@gmail.com,CE24342,2,5,A+,Ayushman Bhatti
Dipta Hegde,8861181188,dipta.hegde@gmail.com,ME24343,7,4,B,Dakshesh Hegde
Jonathan Deo,7927285484,jonathan.deo@gmail.com,IT24344,2,2,B+,Faris Deo
Eesha Venkataraman,9468181814,eesha.venkataraman@gmail.com,CE24345,1,5,C,Lakshit Venkataraman
Rajata Bahri,9158644711,rajata.bahri@gmail.com,AI24346,1,3,A+,Sathvik Bahri
Indira Goyal,9462695176,indira.goyal@gmail.com,IT24347,8,2,B,David Goyal
Sai Ravi,8664065789,sai.ravi@gmail.com,CSE24348,3,1,B+,Charles Ravi
Tanay Raghavan,8622595562,tanay.raghavan@gmail.com,CE24349,8,5,A,Mason Raghavan
Rushil Bhardwaj,7476454137,rushil.bhardwaj@gmail.com,ME24350,8,4,C,Ansh Bhardwaj
George Reddy,9356546699,george.reddy@gmail.com,CSE24351,8,1,A,Liam Reddy
Januja Barad,9746047009,januja.barad@gmail.com,CE24352,6,5,C,Zashil Barad
Tamanna Tata,7685492219,tamanna.tata@gmail.com,CE24353,4,5,B,Faris Tata
Daksh Sengupta,9934073056,daksh.sengupta@gmail.com,CE24354,6,5,B+,Dalbir Sengupta
Aashi Choudhury,8991527280,aashi.choudhury@gmail.com,AI24355,3,3,B,Daksh Choudhury
Anay Bassi,8527023302,anay.bassi@gmail.com,ME24356,4,4,A+,Qabil Bassi
Jason Madan,9997845644,jason.madan@gmail.com,IT24357,5,2,C,Isaac Madan
Vansha Khalsa,8423909008,vansha.khalsa@gmail.com,ME24358,7,4,A+,Samarth Khalsa
Xiti Seth,9456066172,xiti.seth@gmail.com,CE24359,6,5,C,Rishi Seth
Daksh Nath,9773758752,daksh.nath@gmail.com,CE24360,3,5,B+,Chatresh Nath
Idika Om,9902788700,idika.om@gmail.com,IT24361,1,2,B+,Gavin Om
Balveer Chauhan,9971109429,balveer.chauhan@gmail.com,AI24362,5,3,B+,Gaurang Chauhan
Kamala Ravi,7627019242,kamala.ravi@gmail.com,IT24363,1,2,A+,Atharv Ravi
Irya Mann,9326234008,irya.mann@gmail.com,ME24364,6,4,B,Quincy Mann
Damyanti Sankaran,8206052519,damyanti.sankaran@gmail.com,CE24365,7,5,C,Yug Sankaran
Bhanumati Sankar,7731496711,bhanumati.sankar@gmail.com,AI24366,7,3,A,Charan Sankar
Odika Kalita,8734497167,odika.kalita@gmail.com,IT24367,2,2,A+,Utkarsh Kalita
Qushi Bhatnagar,9414595489,qushi.bhatnagar@gmail.com,ME24368,7,4,B,Nitesh Bhatnagar
Krishna Korpal,8344447738,krishna.korpal@gmail.com,AI24369,8,3,A,Fariq Korpal
Shravya Nigam,7956299159,shravya.nigam@gmail.com,ME24370,7,4,C,Harshil Nigam
Hritik Som,8032293281,hritik.som@gmail.com,CE24371,7,5,B,Faraj Som
Hiral Dara,8604206235,hiral.dara@gmail.com,CE24372,3,5,B+,Fariq Dara
Harsh Shetty,7914623564,harsh.shetty@gmail.com,ME24373,8,4,A+,Pranit Shetty
Ridhi Chaudhry,9990976059,ridhi.chaudhry@gmail.com,IT24374,1,2,B+,Ayush Chaudhry
Chameli Das,9614808081,chameli.das@gmail.com,CE24375,8,5,C,Tanish Das
Guneet Samra,8189743977,guneet.samra@gmail.com,ME24376,1,4,C,Tarak Samra
Jairaj Cherian,9169194936,jairaj.cherian@gmail.com,CSE24377,2,1,A+,Gopal Cherian
Agastya Kapoor,8871699191,agastya.kapoor@gmail.com,AI24378,6,3,A+,Aryan Kapoor
Nikita Kashyap,9353875434,nikita.kashyap@gmail.com,ME24379,7,4,C,Quincy Kashyap
Niharika Sen,8453109608,niharika.sen@gmail.com,ME24380,3,4,A,Aarnav Sen
Anika Kar,8164262929,anika.kar@gmail.com,IT24381,6,2,C,Theodore Kar
Michael Parsa,9460711788,michael.parsa@gmail.com,ME24382,6,4,A+,Saksham Parsa
Orinder Kant,8833845930,orinder.kant@gmail.com,IT24383,5,2,B+,Faqid Kant
Fitan Karpe,9158272777,fitan.karpe@gmail.com,ME24384,3,4,A,Jai Karpe
Michael Sur,7102580783,michael.sur@gmail.com,IT24385,8,2,A,Zehaan Sur
Vedhika Shroff,7642582614,vedhika.shroff@gmail.com,IT24386,5,2,B+,Sarthak Shroff
Kai Patel,9989579087,kai.patel@gmail.com,CE24387,6,5,A,Reyansh Patel
Faqid Kumar,7014806681,faqid.kumar@gmail.com,CSE24388,4,1,A,Ranveer Kumar
Rayaan Purohit,8765632846,rayaan.purohit@gmail.com,ME24389,1,4,A,Dominic Purohit
Hema Saini,8662653164,hema.saini@gmail.com,CE24390,6,5,B+,Krishna Saini
Lakshmi Chaudhary,8638573566,lakshmi.chaudhary@gmail.com,CE24391,1,5,C,Zayyan Chaudhary
Baghyawati Chand,9960045218,baghyawati.chand@gmail.com,IT24392,6,2,A+,Agastya Chand
Ekanta Taneja,8850405001,ekanta.taneja@gmail.com,CE24393,1,5,B,Vihaan Taneja
Balveer Srivastava,8970039593,balveer.srivastava@gmail.com,CSE24394,8,1,B+,Patrick Srivastava
Damyanti Borra,8351292374,damyanti.borra@gmail.com,IT24395,3,2,B+,Fariq Borra
Ishanvi Wagle,7204063733,ishanvi.wagle@gmail.com,CSE24396,8,1,B+,Harshil Wagle
Jeet Purohit,9174497800,jeet.purohit@gmail.com,AI24397,7,3,B+,Yug Purohit
Ekaraj Goswami,8079888332,ekaraj.goswami@gmail.com,AI24398,8,3,A+,Maanas Goswami
Ekanta Chatterjee,8154932484,ekanta.chatterjee@gmail.com,IT24399,1,2,A+,Gautam Chatterjee
Abha Chana,9729187063,abha.chana@gmail.com,AI24400,3,3,B+,Christopher Chana
Aashi Sani,9513037572,aashi.sani@gmail.com,CSE24401,4,1,A+,Azaan Sani
Jeet Sarna,7828972816,jeet.sarna@gmail.com,AI24402,2,3,A,Chatresh Sarna
Adya Lanka,8310214972,adya.lanka@gmail.com,IT24403,6,2,B,Gagan Lanka
Ishani Pillay,7395674202,ishani.pillay@gmail.com,IT24404,3,2,A,Aditya Pillay
Kamya Buch,9021421729,kamya.buch@gmail.com,AI24405,7,3,B,Charles Buch
Charan Krishnamurthy,9449042899,charan.krishnamurthy@gmail.com,IT24406,6,2,A,Zashil Krishnamurthy
Daksha Ray,7768306202,daksha.ray@gmail.com,IT24407,7,2,C,Zayyan Ray
Wridesh Narula,8795992788,wridesh.narula@gmail.com,CSE24408,2,1,C,Peter Narula
Varenya Butala,7571564271,varenya.butala@gmail.com,CSE24409,1,1,A,Hitesh Butala
Pooja Palla,7978192922,pooja.palla@gmail.com,ME24410,5,4,A,Samesh Palla
Jeevika Dar,8138615525,jeevika.dar@gmail.com,IT24411,7,2,C,Advaith Dar
Falguni Agarwal,7422379479,falguni.agarwal@gmail.com,AI24412,8,3,B,Manbir Agarwal
Kiaan Golla,7823060679,kiaan.golla@gmail.com,CE24413,3,5,C,Yug Golla
Ayush Narasimhan,9259579920,ayush.narasimhan@gmail.com,ME24414,5,4,B,Gaurang Narasimhan
Janaki Narasimhan,7661576186,janaki.narasimhan@gmail.com,CSE24415,2,1,A,Robert Narasimhan
Yasti Bansal,7514678648,yasti.bansal@gmail.com,CSE24416,8,1,C,Yagnesh Bansal
Aadi Pradhan,7659345749,aadi.pradhan@gmail.com,CSE24417,6,1,B,Jagat Pradhan
Wakeeta Oommen,7210563928,wakeeta.oommen@gmail.com,IT24418,8,2,B,Jackson Oommen
Urvashi Talwar,9825404060,urvashi.talwar@gmail.com,CSE24419,1,1,B+,Faqid Talwar
Abdul Mallick,7941948115,abdul.mallick@gmail.com,CE24420,4,5,B+,Advik Mallick
Libni Badal,7947948210,libni.badal@gmail.com,CE24421,1,5,B,Wriddhish Badal
Gayathri Jha,7939155154,gayathri.jha@gmail.com,IT24422,1,2,B+,Bachittar Jha
Nandini Mane,7650784598,nandini.mane@gmail.com,AI24423,1,3,A+,Sarthak Mane
Samaksh Tank,9038492941,samaksh.tank@gmail.com,AI24424,2,3,A+,Krish Tank
Amaira Mukhopadhyay,7228189324,amaira.mukhopadhyay@gmail.com,CE24425,5,5,A,Farhan Mukhopadhyay
Maanas Sachar,9129107481,maanas.sachar@gmail.com,AI24426,2,3,B,Banjeet Sachar
Madhav Sen,9704764771,madhav.sen@gmail.com,ME24427,5,4,A,Robert Sen
Ubika Wali,7690208538,ubika.wali@gmail.com,ME24428,3,4,B,Simon Wali
Dayamai Krishnamurthy,7693704413,dayamai.krishnamurthy@gmail.com,CSE24429,3,1,B,Wazir Krishnamurthy
Ethan Gaba,9199746431,ethan.gaba@gmail.com,IT24430,1,2,B+,Balhaar Gaba
Manbir Baral,7355756271,manbir.baral@gmail.com,ME24431,6,4,C,Ishwar Baral
Warda Kota,8896792816,warda.kota@gmail.com,CSE24432,3,1,B,Zayyan Kota
Logan Kumer,9079494628,logan.kumer@gmail.com,AI24433,7,3,B+,Samarth Kumer
Arya Jani,7911642475,arya.jani@gmail.com,CSE24434,1,1,B,Azad Jani
Januja Raval,9299395302,januja.raval@gmail.com,CE24435,2,5,A+,Hritik Raval
Tripti Srivastava,9715032692,tripti.srivastava@gmail.com,CE24436,7,5,C,Victor Srivastava
Dayamai Mann,8077514631,dayamai.mann@gmail.com,CSE24437,6,1,A,Qarin Mann
Radha Balan,8257434870,radha.balan@gmail.com,AI24438,4,3,A+,Wriddhish Balan
Bhavna Narasimhan,9532302762,bhavna.narasimhan@gmail.com,IT24439,7,2,A,Hitesh Narasimhan
Saksham Savant,7233664137,saksham.savant@gmail.com,ME24440,1,4,B,Jeet Savant
Reva Ganesan,9833846615,reva.ganesan@gmail.com,CE24441,8,5,B,Tanay Ganesan
Vivaan Manda,9385337987,vivaan.manda@gmail.com,CE24442,1,5,B,Samar Manda
Samesh Luthra,7468593821,samesh.luthra@gmail.com,AI24443,8,3,B+,Tanveer Luthra
Shivani Lall,8956054896,shivani.lall@gmail.com,CE24444,4,5,B+,Nihal Lall
Darika Acharya,8738051709,darika.acharya@gmail.com,CE24445,7,5,B+,Girish Acharya
Aryan Vig,8444010631,aryan.vig@gmail.com,AI24446,8,3,A,Dalbir Vig
Lavanya Buch,7094827942,lavanya.buch@gmail.com,AI24447,6,3,B+,Chandran Buch
Ridhi Koshy,9721839333,ridhi.koshy@gmail.com,CSE24448,5,1,B+,Jairaj Koshy
Libni Lalla,9465807605,libni.lalla@gmail.com,IT24449,6,2,C,Daksh Lalla
Adweta Sachdeva,8437740325,adweta.sachdeva@gmail.com,CE24450,2,5,C,Ranbir Sachdeva
Nirja Khanna,9967912361,nirja.khanna@gmail.com,ME24451,7,4,A+,Mitesh Khanna
Onkar Yogi,8556382062,onkar.yogi@gmail.com,AI24452,7,3,A,Chandran Yogi
Widisha Ramachandran,8073851763,widisha.ramachandran@gmail.com,CE24453,6,5,C,Yuvraj Ramachandran
Kiaan Lalla,8705708599,kiaan.lalla@gmail.com,ME24454,6,4,B,Patrick Lalla
Jonathan Char,9330517913,jonathan.char@gmail.com,CSE24455,6,1,C,Nitesh Char
Hardik Goda,8299357415,hardik.goda@gmail.com,AI24456,8,3,B,Agastya Goda
Daksha Apte,7245541982,daksha.apte@gmail.com,IT24457,3,2,A+,Gopal Apte
Rayaan Mall,7190040385,rayaan.mall@gmail.com,IT24458,4,2,B,Vincent Mall
Anusha Gole,7364072693,anusha.gole@gmail.com,ME24459,2,4,B,Harish Gole
Upkaar Salvi,7339449542,upkaar.salvi@gmail.com,AI24460,5,3,A,Arin Salvi
Tamanna Sastry,9482677740,tamanna.sastry@gmail.com,CSE24461,2,1,B,Maanas Sastry
Vasana Sodhi,9136085761,vasana.sodhi@gmail.com,ME24462,7,4,A+,Ansh Sodhi
Rishi Soman,8917111725,rishi.soman@gmail.com,ME24463,1,4,B,Nachiket Soman
Peter Khare,9516328117,peter.khare@gmail.com,IT24464,4,2,B,Nitesh Khare
Vamakshi Sule,7911183442,vamakshi.sule@gmail.com,AI24465,6,3,A,Laban Sule
Gauri Manda,8494719334,gauri.manda@gmail.com,CE24466,6,5,B+,Rushil Manda
Fiyaz Barman,8874646200,fiyaz.barman@gmail.com,CE24467,8,5,A,Tristan Barman
Yash Wason,8855082619,yash.wason@gmail.com,ME24468,7,4,A,Darsh Wason
Omya Sethi,8322529929,omya.sethi@gmail.com,AI24469,4,3,B,Rishi Sethi
Dominic Shere,9464847949,dominic.shere@gmail.com,CSE24470,6,1,A+,Orinder Shere
Bhanumati Virk,9411782691,bhanumati.virk@gmail.com,CE24471,2,5,A+,Pranav Virk
Ekbal Narang,7676804253,ekbal.narang@gmail.com,AI24472,1,3,B+,Ojas Narang
Nirja Khalsa,8860396017,nirja.khalsa@gmail.com,IT24473,7,2,A,Chaitanya Khalsa
Yadavi Kannan,8875064202,yadavi.kannan@gmail.com,CSE24474,5,1,C,Sai Kannan
Gaurang Kala,7130872362,gaurang.kala@gmail.com,CSE24475,3,1,C,Ethan Kala
Aashi Ratti,9741612971,aashi.ratti@gmail.com,IT24476,3,2,B,Faraj Ratti
Wridesh Bora,7699144657,wridesh.bora@gmail.com,IT24477,3,2,B,Abeer Bora
Advaith Chaudhary,7674440678,advaith.chaudhary@gmail.com,CE24478,1,5,C,Laksh Chaudhary
Shivani Mammen,7138660596,shivani.mammen@gmail.com,CSE24479,8,1,C,Tristan Mammen
Chakradev Narasimhan,8902032072,chakradev.narasimhan@gmail.com,AI24480,3,3,B,Tanay Narasimhan
Manan Bumb,9545798480,manan.bumb@gmail.com,ME24481,3,4,A+,Tarak Bumb
Unni Kothari,9260193797,unni.kothari@gmail.com,AI24482,4,3,B+,Naveen Kothari
Nitesh Sridhar,7229055902,nitesh.sridhar@gmail.com,CE24483,5,5,B+,Viraj Sridhar
Saumya Kannan,7503096485,saumya.kannan@gmail.com,IT24484,7,2,B+,Noah Kannan
Kalpit Iyer,7938075799,kalpit.iyer@gmail.com,ME24485,6,4,B,Warjas Iyer
Samar Puri,9780701827,samar.puri@gmail.com,ME24486,1,4,B,Karan Puri
Eesha Dua,8683150416,eesha.dua@gmail.com,ME24487,4,4,A+,Jai Dua
Jhalak Badami,9046507248,jhalak.badami@gmail.com,AI24488,8,3,A+,Onkar Badami
Mitesh Dasgupta,7111965725,mitesh.dasgupta@gmail.com,ME24489,3,4,C,Jatin Dasgupta
Yashvi Sandhu,9197238867,yashvi.sandhu@gmail.com,CSE24490,6,1,B+,Ranveer Sandhu
Advika Bail,7832965336,advika.bail@gmail.com,CSE24491,7,1,C,Brijesh Bail
Falak Kalla,9492988904,falak.kalla@gmail.com,IT24492,6,2,B,Timothy Kalla
Rohan Hari,9385888899,rohan.hari@gmail.com,AI24493,3,3,B+,Andrew Hari
Reyansh Ravel,9564839560,reyansh.ravel@gmail.com,ME24494,1,4,C,Onveer Ravel
Meera Thaman,7722323885,meera.thaman@gmail.com,IT24495,6,2,A,Darpan Thaman
Vasudha Savant,8696086375,vasudha.savant@gmail.com,ME24496,8,4,A+,George Savant
Eiravati Mangat,8945378136,eiravati.mangat@gmail.com,AI24497,6,3,A+,Yatan Mangat
Parth Suri,8060721006,parth.suri@gmail.com,CE24498,2,5,A,Vincent Suri
Januja Dhaliwal,8849606686,januja.dhaliwal@gmail.com,CE24499,6,5,B,Wazir Dhaliwal
Gaurika Bhatt,8712058142,gaurika.bhatt@gmail.com,AI24500,4,3,A+,Tejas Bhatt
